"Bron/Techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik (TJ)";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik relatief (% van totaal eindverbruik energie)";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden verbruik van fossiele energie/Vermeden verbruik relatief (% van totaal energieverbruik)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie relatief (% van totale CO2 emissie)"
"Totaal biomassa";"Elektriciteit";"2018**";"   17341";"    0.82";"   33226";"    1.06";"    2565";"    1.59"
"Totaal biomassa";"Warmte";"2017**";"   55251";"    2.61";"   44037";"    1.39";"    2532";"    1.54"
"Totaal biomassa";"Warmte";"2018**";"   56856";"    2.68";"   44704";"    1.43";"    2589";"    1.61"
"Totaal biomassa";"Vervoer";"2017**";"   12691";"    0.60";"   12703";"    0.40";"     874";"    0.53"
"Totaal biomassa";"Vervoer";"2018**";"   21152";"    1.00";"   21159";"    0.68";"    1475";"    0.92"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2017**";"   19941";"    0.94";"   24813";"    0.78";"    1601";"    0.97"
"Afvalverbrandingsinstallaties";"Totaal energietoepassingen";"2018**";"   16907";"    0.80";"   22331";"    0.72";"    1502";"    0.93"
"Afvalverbrandingsinstallaties";"Elektriciteit";"2017**";"    6853";"    0.32";"   11926";"    0.38";"     872";"    0.53"
"Afvalverbrandingsinstallaties";"Elektriciteit";"2018**";"    7970";"    0.38";"   14420";"    0.46";"    1054";"    0.65"
"Afvalverbrandingsinstallaties";"Warmte";"2017**";"   13088";"    0.62";"   12887";"    0.41";"     729";"    0.44"
"Afvalverbrandingsinstallaties";"Warmte";"2018**";"    8936";"    0.42";"    7911";"    0.25";"     448";"    0.28"
"Afvalverbrandingsinstallaties";"Vervoer";"2017**";"";"";"";"";"";""
"Afvalverbrandingsinstallaties";"Vervoer";"2018**";"";"";"";"";"";""
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2017**";"    2335";"    0.11";"    4883";"    0.15";"     462";"    0.28"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2018**";"    3094";"    0.15";"    6858";"    0.22";"     649";"    0.40"
"Bij- en meestoken biomassa in centrales";"Elektriciteit";"2017**";"    1909";"    0.09";"    4373";"    0.14";"     414";"    0.25"
"Bij- en meestoken biomassa in centrales";"Elektriciteit";"2018**";"    2643";"    0.12";"    6284";"    0.20";"     595";"    0.37"
"Bij- en meestoken biomassa in centrales";"Warmte";"2017**";"     426";"    0.02";"     510";"    0.02";"      48";"    0.03"
"Bij- en meestoken biomassa in centrales";"Warmte";"2018**";"     451";"    0.02";"     574";"    0.02";"      54";"    0.03"
"Bij- en meestoken biomassa in centrales";"Vervoer";"2017**";"";"";"";"";"";""
"Bij- en meestoken biomassa in centrales";"Vervoer";"2018**";"";"";"";"";"";""
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2017**";"   19465";"    0.92";"   12894";"    0.41";"     730";"    0.44"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2018**";"   19949";"    0.94";"   13341";"    0.43";"     755";"    0.47"
"Totaal biomassa huishoudens";"Elektriciteit";"2017**";"";"";"";"";"";""
"Totaal biomassa huishoudens";"Elektriciteit";"2018**";"";"";"";"";"";""
"Totaal biomassa huishoudens";"Warmte";"2017**";"   19465";"    0.92";"   12894";"    0.41";"     730";"    0.44"
"Totaal biomassa huishoudens";"Warmte";"2018**";"   19949";"    0.94";"   13341";"    0.43";"     755";"    0.47"
"Totaal biomassa huishoudens";"Vervoer";"2017**";"";"";"";"";"";""
"Totaal biomassa huishoudens";"Vervoer";"2018**";"";"";"";"";"";""
"Houtkachels huishoudens, openhaarden";"Totaal energietoepassingen";"2017**";"    2516";"    0.12";"     265";"    0.01";"      15";"    0.01"
"Houtkachels huishoudens, openhaarden";"Totaal energietoepassingen";"2018**";"    2516";"    0.12";"     265";"    0.01";"      15";"    0.01"
"Houtkachels huishoudens, openhaarden";"Elektriciteit";"2017**";"";"";"";"";"";""
"Houtkachels huishoudens, openhaarden";"Elektriciteit";"2018**";"";"";"";"";"";""
"Houtkachels huishoudens, openhaarden";"Warmte";"2017**";"    2516";"    0.12";"     265";"    0.01";"      15";"    0.01"
"Houtkachels huishoudens, openhaarden";"Warmte";"2018**";"    2516";"    0.12";"     265";"    0.01";"      15";"    0.01"
"Houtkachels huishoudens, openhaarden";"Vervoer";"2017**";"";"";"";"";"";""
"Houtkachels huishoudens, openhaarden";"Vervoer";"2018**";"";"";"";"";"";""
"Houtkachels huishoudens, inzethaarden";"Totaal energietoepassingen";"2017**";"    2768";"    0.13";"    1687";"    0.05";"      95";"    0.06"
"Houtkachels huishoudens, inzethaarden";"Totaal energietoepassingen";"2018**";"    2638";"    0.12";"    1625";"    0.05";"      92";"    0.06"
"Houtkachels huishoudens, inzethaarden";"Elektriciteit";"2017**";"";"";"";"";"";""
"Houtkachels huishoudens, inzethaarden";"Elektriciteit";"2018**";"";"";"";"";"";""
"Houtkachels huishoudens, inzethaarden";"Warmte";"2017**";"    2768";"    0.13";"    1687";"    0.05";"      95";"    0.06"
"Houtkachels huishoudens, inzethaarden";"Warmte";"2018**";"    2638";"    0.12";"    1625";"    0.05";"      92";"    0.06"
"Houtkachels huishoudens, inzethaarden";"Vervoer";"2017**";"";"";"";"";"";""
"Houtkachels huishoudens, inzethaarden";"Vervoer";"2018**";"";"";"";"";"";""
"Houtkachels huishoudens, vrijstaand";"Totaal energietoepassingen";"2017**";"   13911";"    0.66";"   10942";"    0.35";"     619";"    0.38"
"Houtkachels huishoudens, vrijstaand";"Totaal energietoepassingen";"2018**";"   14525";"    0.69";"   11452";"    0.37";"     648";"    0.40"
"Houtkachels huishoudens, vrijstaand";"Elektriciteit";"2017**";"";"";"";"";"";""
"Houtkachels huishoudens, vrijstaand";"Elektriciteit";"2018**";"";"";"";"";"";""
"Houtkachels huishoudens, vrijstaand";"Warmte";"2017**";"   13911";"    0.66";"   10942";"    0.35";"     619";"    0.38"
